epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,326107,2.24871,1.99722,2.39865,0.75763,0.60394,0.68869,0.4811,2.00355,1.54899,2.19797,0.006205,0.006205,0.006205
117,328707,2.25705,2.00032,2.39905,0.75205,0.60533,0.68827,0.48084,2.00258,1.54553,2.19678,0.006172,0.006172,0.006172
118,331306,2.25438,1.99686,2.3985,0.74349,0.6071,0.68714,0.48019,2.00166,1.54561,2.19598,0.006139,0.006139,0.006139
119,333895,2.24958,1.99367,2.39701,0.75285,0.60625,0.68738,0.48021,2.00231,1.54445,2.19715,0.006106,0.006106,0.006106
120,336504,2.25039,1.99929,2.3993,0.75819,0.60438,0.68793,0.48144,1.99945,1.54545,2.19508,0.006073,0.006073,0.006073
121,339084,2.24564,1.98572,2.39751,0.7516,0.61071,0.68885,0.48152,1.99994,1.54471,2.19572,0.00604,0.00604,0.00604
122,341689,2.24564,1.99345,2.39933,0.75083,0.61162,0.68809,0.48126,1.9995,1.54495,2.19585,0.006007,0.006007,0.006007
123,344282,2.24297,1.98666,2.39029,0.74374,0.61514,0.68904,0.48186,1.99853,1.54594,2.19435,0.005974,0.005974,0.005974
124,346902,2.24363,1.98002,2.39389,0.74474,0.61441,0.68881,0.48183,1.99878,1.54436,2.19549,0.005941,0.005941,0.005941
125,349514,2.24075,1.99074,2.39038,0.7411,0.61859,0.68818,0.48137,1.99654,1.54652,2.19413,0.005908,0.005908,0.005908
126,352031,2.2392,1.9783,2.39199,0.74733,0.61128,0.68785,0.48076,1.99549,1.54687,2.19447,0.005875,0.005875,0.005875
127,354574,2.2379,1.98249,2.39575,0.75798,0.60479,0.68896,0.48197,1.99567,1.54636,2.19514,0.005842,0.005842,0.005842
128,357090,2.23843,1.97975,2.38923,0.75931,0.60443,0.68726,0.48187,1.99692,1.54608,2.19613,0.005809,0.005809,0.005809
129,359778,2.23806,1.9753,2.3937,0.75707,0.6056,0.68666,0.48072,1.99649,1.54771,2.19587,0.005776,0.005776,0.005776
130,362478,2.23705,1.97288,2.39298,0.75763,0.60481,0.68668,0.48097,1.99703,1.54749,2.19594,0.005743,0.005743,0.005743
131,365216,2.23393,1.97106,2.38806,0.75,0.60886,0.68874,0.48272,1.9959,1.54612,2.19475,0.00571,0.00571,0.00571
132,367955,2.23481,1.97173,2.38642,0.75035,0.61269,0.6881,0.48235,1.99589,1.54499,2.19503,0.005677,0.005677,0.005677
133,370694,2.23108,1.97102,2.38045,0.74773,0.61532,0.68914,0.48273,1.99463,1.54364,2.19384,0.005644,0.005644,0.005644
134,373355,2.23117,1.96372,2.38226,0.75463,0.61666,0.6905,0.48436,1.99346,1.54155,2.19236,0.005611,0.005611,0.005611
135,375967,2.2287,1.96745,2.38456,0.7552,0.61432,0.6904,0.48445,1.99533,1.5413,2.1925,0.005578,0.005578,0.005578
136,378517,2.23347,1.96357,2.38303,0.74991,0.61945,0.6912,0.48491,1.99547,1.54066,2.19238,0.005545,0.005545,0.005545
137,381128,2.22752,1.96038,2.38904,0.75309,0.61753,0.69334,0.48609,1.99547,1.53794,2.19282,0.005512,0.005512,0.005512
138,383729,2.22837,1.95649,2.3846,0.75386,0.61549,0.69377,0.48662,1.99637,1.53472,2.19301,0.005479,0.005479,0.005479
139,386298,2.22506,1.9581,2.38008,0.7594,0.61309,0.6951,0.48706,1.99465,1.53469,2.19209,0.005446,0.005446,0.005446
140,388873,2.22472,1.95139,2.3793,0.75447,0.61357,0.69477,0.48652,1.99462,1.53358,2.19189,0.005413,0.005413,0.005413
141,391433,2.22726,1.95939,2.37809,0.75145,0.61388,0.6936,0.4855,1.9941,1.53368,2.19158,0.00538,0.00538,0.00538
142,394015,2.22033,1.95356,2.38312,0.74661,0.61963,0.69441,0.48737,1.99315,1.53437,2.18973,0.005347,0.005347,0.005347
143,396618,2.21902,1.94875,2.37716,0.73928,0.62561,0.69509,0.48712,1.99328,1.53365,2.18916,0.005314,0.005314,0.005314
144,399182,2.21952,1.94578,2.37634,0.74118,0.62388,0.69444,0.48622,1.99149,1.53484,2.1877,0.005281,0.005281,0.005281
145,401777,2.22355,1.94715,2.3798,0.74128,0.62064,0.69432,0.48632,1.98958,1.53464,2.18703,0.005248,0.005248,0.005248
146,404258,2.22056,1.9478,2.37583,0.73922,0.62514,0.69507,0.48607,1.98732,1.53721,2.1845,0.005215,0.005215,0.005215
147,406856,2.21472,1.93782,2.36804,0.73673,0.62512,0.69443,0.48578,1.98565,1.5376,2.18377,0.005182,0.005182,0.005182
148,409458,2.21321,1.94383,2.37615,0.73916,0.62514,0.69498,0.48654,1.98584,1.53508,2.18395,0.005149,0.005149,0.005149
149,412070,2.21774,1.94007,2.37416,0.74098,0.62182,0.69482,0.48644,1.98561,1.53561,2.18341,0.005116,0.005116,0.005116
150,414588,2.20781,1.93301,2.36958,0.74242,0.62327,0.69407,0.48709,1.98571,1.53556,2.18451,0.005083,0.005083,0.005083
151,417173,2.2089,1.93468,2.3711,0.74467,0.62049,0.69368,0.48625,1.98454,1.53519,2.18494,0.00505,0.00505,0.00505
152,419805,2.20859,1.93339,2.36634,0.75509,0.61508,0.69547,0.48751,1.98393,1.53408,2.18453,0.005017,0.005017,0.005017
153,422458,2.2112,1.93235,2.36543,0.7529,0.61437,0.6953,0.48781,1.98229,1.53331,2.18377,0.004984,0.004984,0.004984
154,425068,2.2132,1.93336,2.36907,0.75671,0.61506,0.69623,0.48808,1.9818,1.5313,2.18342,0.004951,0.004951,0.004951
155,427688,2.20355,1.93052,2.36758,0.75558,0.61516,0.69722,0.48818,1.9798,1.53192,2.18208,0.004918,0.004918,0.004918
156,430301,2.20944,1.92712,2.3674,0.75265,0.61838,0.69838,0.4892,1.98057,1.52839,2.18236,0.004885,0.004885,0.004885
157,432931,2.20418,1.91619,2.36402,0.74206,0.62386,0.69914,0.48975,1.98085,1.52634,2.18193,0.004852,0.004852,0.004852
158,435535,2.19894,1.92323,2.36121,0.7399,0.62689,0.69882,0.4902,1.98066,1.5254,2.18135,0.004819,0.004819,0.004819
159,438136,2.19917,1.9169,2.35915,0.73564,0.62901,0.69824,0.48954,1.98061,1.52325,2.18037,0.004786,0.004786,0.004786
