epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,119596,1.81875,1.66872,1.71444,0.73138,0.6053,0.68296,0.54869,1.66354,1.46886,1.71389,0.007921,0.007921,0.007921
65,121422,1.83129,1.67811,1.71123,0.70884,0.61998,0.68796,0.55186,1.66186,1.45905,1.71432,0.007888,0.007888,0.007888
66,123241,1.815,1.67269,1.70809,0.70052,0.62902,0.68684,0.55329,1.66128,1.45617,1.71504,0.007855,0.007855,0.007855
67,125065,1.81889,1.6726,1.71548,0.67706,0.64141,0.68667,0.55321,1.65469,1.45602,1.71417,0.007822,0.007822,0.007822
68,126860,1.81445,1.64641,1.70545,0.72962,0.60415,0.687,0.55246,1.65552,1.45612,1.71501,0.007789,0.007789,0.007789
69,128683,1.79944,1.63631,1.70923,0.72666,0.60674,0.68623,0.55387,1.65242,1.45828,1.71491,0.007756,0.007756,0.007756
70,130501,1.80565,1.64202,1.70865,0.71585,0.61226,0.68225,0.54923,1.6565,1.46039,1.7163,0.007723,0.007723,0.007723
71,132281,1.79976,1.62399,1.70684,0.71728,0.61351,0.68358,0.54971,1.66041,1.45864,1.71625,0.00769,0.00769,0.00769
72,134105,1.79536,1.62985,1.70178,0.71916,0.61387,0.68518,0.55051,1.66207,1.45561,1.71652,0.007657,0.007657,0.007657
73,135928,1.80964,1.64348,1.70124,0.71074,0.61693,0.68366,0.54919,1.66193,1.45202,1.71716,0.007624,0.007624,0.007624
74,137745,1.7946,1.62421,1.70403,0.70149,0.62472,0.68448,0.54923,1.66065,1.4504,1.71656,0.007591,0.007591,0.007591
75,139524,1.79283,1.61441,1.70527,0.70381,0.6273,0.68733,0.5521,1.65744,1.44658,1.71557,0.007558,0.007558,0.007558
76,141337,1.79364,1.60143,1.70782,0.71239,0.62013,0.68914,0.55355,1.65694,1.44398,1.71536,0.007525,0.007525,0.007525
77,143127,1.8006,1.62303,1.70253,0.71793,0.61825,0.68971,0.55501,1.65216,1.43962,1.71494,0.007492,0.007492,0.007492
78,144926,1.78693,1.6056,1.69681,0.72053,0.61885,0.69034,0.55582,1.64995,1.4374,1.71407,0.007459,0.007459,0.007459
79,146742,1.77473,1.59612,1.7041,0.71971,0.61555,0.6926,0.55685,1.64708,1.43657,1.71285,0.007426,0.007426,0.007426
80,148552,1.79068,1.59386,1.70081,0.69811,0.62956,0.69402,0.55727,1.64645,1.4351,1.71237,0.007393,0.007393,0.007393
81,150369,1.78243,1.58431,1.69741,0.68539,0.64395,0.69361,0.55765,1.64606,1.43546,1.71226,0.00736,0.00736,0.00736
